model,runtime,mse,rmse,mae,mape
DynamicFactor_1440_336,0.9485228061676024,81199154.99241233,9011.0573737166,7104.154513386247,0.2088178112014906
DynamicFactor_17520_8760,0.4045968055725097,99439278.16188212,9971.924496398984,7515.199306728051,0.2380097143236263
DynamicFactor_336_24,8.286964416503906,68432440.67925254,8272.390263959536,6584.710494279514,0.1950990084904128
SARIMAX_1440_336,34.745988607406616,47933325.06406205,6923.389709099297,5099.831222385621,0.1488393102198153
SARIMAX_17520_8760,74.3839180469513,95165075.1123617,9755.25884394472,7733.060938115879,0.2061694962749517
SARIMAX_336_24,605.4321279525757,17901209.684588667,4230.982118207151,3166.3964045920907,0.0924104628450059
SARIMA_1440_336,97.7717583179474,26603263.99273786,5157.835204108198,3900.832872041533,0.1151561131485654
SARIMA_17520_8760,28.05050230026245,41985142.2003573,6479.594292882642,5358.320931679144,0.1589538359777258
SARIMA_336_24,2594.4304559230804,19371575.535805456,4401.315205231893,3252.974083631194,0.0960379610003863
ThetaModel_1440_336,0.8701074123382568,76817640.21523646,8764.56731477581,6887.425553714793,0.2080927108464934
ThetaModel_17520_8760,0.2858586311340332,90814931.82889564,9529.686869404242,7292.599318130753,0.2223234101653224
ThetaModel_336_24,5.622960090637207,74415669.3548537,8626.451724484043,6721.998130473487,0.2065137203965764
