model,accuracy,params
DynamicFactor_1440_336,10699.618465911872,{}
DynamicFactor_17520_8760,9973.002824238578,{}
DynamicFactor_336_24,9167.214213819352,{}
ExponentialSmoothing_1440_336,9777.481316542036,{}
ExponentialSmoothing_17520_8760,10265.195319943905,{}
ExponentialSmoothing_336_24,9007.786131872,{}
SARIMAX_1440_336,4919.535579964616,"{'order': (0, 0, 0), 'seasonal_order': (1, 1, 0, 12)}"
SARIMAX_17520_8760,9499.81597429464,"{'order': (1, 0, 2), 'seasonal_order': (2, 1, 2, 12)}"
SARIMAX_336_24,1010.8287895865616,"{'order': (0, 1, 0), 'seasonal_order': (2, 1, 2, 12)}"
SARIMA_1440_336,3918.393769614099,"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 2, 12)}"
SARIMA_17520_8760,6441.655963073856,"{'order': (0, 0, 0), 'seasonal_order': (1, 1, 2, 12)}"
SARIMA_336_24,1149.6709222068855,"{'order': (2, 1, 2), 'seasonal_order': (2, 2, 2, 12)}"
ThetaModel_1440_336,9771.618054966615,"{'deseasonalize': False, 'use_test': True, 'method': 'multiplicative', 'difference': False}"
ThetaModel_17520_8760,10495.337916773304,"{'deseasonalize': False, 'use_test': False, 'method': 'additive', 'difference': True}"
ThetaModel_336_24,8983.59206561879,"{'deseasonalize': False, 'use_test': False, 'method': 'additive', 'difference': True}"
